,dataset,method,exp,total_hr,total_ndcg,best_epoch,head_hr,head_ndcg,mid_hr,mid_ndcg,tail_hr,tail_ndcg,balance
110,RetailRocket,RNS,6,0.03837471783295711,0.027375543051198836,175,0.1249869805228622,0.08744567251269357,0.0322554632690912,0.02661906294382696,0.004484103851845209,0.0019311984129563387,0.5085215485187723
111,RetailRocket,RNS,7,0.040632054176072234,0.029888236553272173,200,0.10415581710238517,0.08188056573426503,0.040319329086364,0.03169644833540354,0.013452311555535626,0.0064950411142074005,0.5814439024169273
112,RetailRocket,RNS,8,0.022573363431151242,0.010068239678308923,50,0.04166232684095406,0.015542994164339585,0.0241915974518184,0.015009701767170277,0.013452311555535626,0.004962083277098886,0.8013818144664606
113,RetailRocket,RNS,9,0.020316027088036117,0.014693568774008493,50,0.052077908551192584,0.04687011769607332,0.0241915974518184,0.01387135021827171,0.004484103851845209,0.0012961967011250073,0.5102577238800017
114,RetailRocket,RNS,10,0.03160270880361174,0.02316288403282252,175,0.09374023539214664,0.075121491242746,0.040319329086364,0.024584656498059274,0.0,0.0,0.497715591151937
115,RetailRocket,RNS,11,0.033860045146726865,0.026291042071276596,150,0.11457139881262368,0.0855770761327168,0.0241915974518184,0.0241915974518184,0.004484103851845209,0.0019311984129563387,0.5007714179608191
116,RetailRocket,RNS,12,0.03611738148984198,0.022166185766552535,125,0.1354025622331007,0.07103031241102771,0.0241915974518184,0.0241915974518184,0.0,0.0,0.5027048660647787
117,RetailRocket,RNS,13,0.040632054176072234,0.02792350556216139,175,0.1249869805228622,0.086688277611857,0.0322554632690912,0.026735463888281016,0.008968207703690417,0.0032810481760341434,0.5235441763665014
118,RetailRocket,RNS,14,0.04740406320541761,0.023448240794981846,100,0.17706488907405477,0.08435064936838943,0.0322554632690912,0.018458711606466314,0.0,0.0,0.45303033088158806
119,RetailRocket,RNS,15,0.040632054176072234,0.02209229329679338,75,0.1354025622331007,0.07387965562046701,0.0322554632690912,0.016633904046342803,0.004484103851845209,0.002829154538233521,0.49254905549289896
120,RetailRocket,RNS,16,0.040632054176072234,0.024878457519735626,100,0.10415581710238517,0.058348713585334465,0.0483831949036368,0.032762595781041015,0.008968207703690417,0.006081373871611238,0.6414875644143883
121,RetailRocket,RNS,17,0.03611738148984198,0.02412305579231348,100,0.11457139881262368,0.08198155233006085,0.0241915974518184,0.0161277316345456,0.008968207703690417,0.003656629195039365,0.48689634995621967
122,RetailRocket,RNS,18,0.04288939051918736,0.03321086766188724,150,0.16664930736381625,0.12199160893881934,0.0241915974518184,0.0241915974518184,0.0,0.0,0.44365994974002876
123,RetailRocket,RNS,19,0.033860045146726865,0.025218862021702107,125,0.1354025622331007,0.1022367325123009,0.0080638658172728,0.0080638658172728,0.004484103851845209,0.0015972700197660293,0.40041042686630235
124,RetailRocket,AMNS,0,0.03611738148984198,0.020642398785993263,50,0.1354025622331007,0.07513702847746717,0.0161277316345456,0.0120957987259092,0.004484103851845209,0.0019311984129563387,0.45265232061897387
125,RetailRocket,AMNS,1,0.04288939051918736,0.018097122729109155,75,0.17706488907405477,0.06905710407000117,0.0161277316345456,0.011183394945847445,0.0,0.0,0.42625110985114123
126,RetailRocket,AMNS,2,0.05417607223476298,0.03298688614691243,100,0.22914279762524736,0.13137371693659208,0.0080638658172728,0.0080638658172728,0.004484103851845209,0.004484103851845209,0.41222965729632977
127,RetailRocket,AMNS,3,0.013544018058690745,0.00865758899799985,100,0.04166232684095406,0.02888975746765007,0.0080638658172728,0.005087732872925228,0.004484103851845209,0.0019311984129563387,0.49950212114058556
128,RetailRocket,AMNS,4,0.03611738148984198,0.02135047936685572,50,0.15623372565357774,0.09330551358730428,0.0080638658172728,0.0040319329086364,0.0,0.0,0.3609501147896039
129,RetailRocket,AMNS,5,0.01580135440180587,0.00890038021143123,75,0.03124674513071555,0.02430302399055654,0.0322554632690912,0.012979075077257485,0.0,0.0,0.5654245327873335
130,RetailRocket,AMNS,6,0.02708803611738149,0.014770219420268727,100,0.09374023539214664,0.05290015744478967,0.0080638658172728,0.005087732872925228,0.008968207703690417,0.003736753209871007,0.4690055437858579
131,RetailRocket,AMNS,7,0.04288939051918736,0.02392597680916842,25,0.14581814394333922,0.09197459710933217,0.0322554632690912,0.011574819165077781,0.004484103851845209,0.001494701283948403,0.4257673853373066
132,RetailRocket,AMNS,8,0.04740406320541761,0.02492985683102612,150,0.16664930736381625,0.09062954146365458,0.0322554632690912,0.016559305490695977,0.004484103851845209,0.0012961967011250073,0.45102664407687687
133,RetailRocket,AMNS,9,0.040632054176072234,0.024831340432777165,25,0.1354025622331007,0.07555611266390123,0.040319329086364,0.03020838186322975,0.0,0.0,0.5237475570095023
134,RetailRocket,AMNS,10,0.033860045146726865,0.013552437553788222,150,0.1354025622331007,0.05193154125114241,0.0161277316345456,0.008207262001499871,0.0,0.0,0.4243175300549482
135,RetailRocket,AMNS,11,0.04740406320541761,0.024740100016755237,50,0.18748047078429328,0.08929290178302285,0.0161277316345456,0.0161277316345456,0.004484103851845209,0.0017346881630175403,0.4552582351506559
136,RetailRocket,AMNS,12,0.04966139954853273,0.030316570917919977,50,0.18748047078429328,0.12213163987184741,0.0241915974518184,0.01027099116578569,0.004484103851845209,0.0019311984129563387,0.40347528980909253
137,RetailRocket,AMNS,13,0.04288939051918736,0.0335273775642248,25,0.15623372565357774,0.12016626793215142,0.0241915974518184,0.0241915974518184,0.004484103851845209,0.0014145772691167605,0.45690948572078516
138,RetailRocket,AMNS,14,0.060948081264108354,0.025873478561754037,125,0.23955837933548588,0.0986187370271508,0.0322554632690912,0.016075849212807754,0.0,0.0,0.4267763207226408
139,RetailRocket,AMNS,15,0.056433408577878104,0.03105875905145427,100,0.22914279762524736,0.12483412816711965,0.0241915974518184,0.014302924074422088,0.0,0.0,0.4018662079544332
140,RetailRocket,AMNS,16,0.02708803611738149,0.016993596078379355,125,0.11457139881262368,0.06799461579754247,0.0080638658172728,0.0080638658172728,0.0,0.0,0.4040169602690735
